	 ExtractedX	 ExtractedY
		
1630582711.662610	665	647
1630582711.695950	680	648
1630582711.729280	661	649
1630582711.762610	658	649
1630582711.795950	653	647
1630582711.829280	647	649
1630582711.862620	658	644
1630582711.895950	638	649
1630582711.929280	633	648
1630582711.962620	630	648
1630582711.995950	628	649
1630582712.029280	626	649
1630582712.062620	624	649
1630582712.095950	623	650
1630582712.129280	620	650
1630582712.162620	619	651
1630582712.195950	619	651
1630582712.229280	618	651
1630582712.262620	619	651
1630582712.295950	619	652
1630582712.329280	619	651
1630582712.362620	619	651
1630582712.395950	619	651
1630582712.429280	619	651
1630582712.462620	619	651
1630582712.495950	619	651
1630582712.529280	619	651
1630582712.562620	619	651
1630582712.595950	619	651
1630582712.629280	619	650
1630582712.662620	619	650
1630582712.695950	619	650
1630582712.729280	619	650
1630582712.762620	619	650
1630582712.795950	619	650
1630582712.829290	619	651
1630582712.862620	619	650
1630582712.895950	619	650
1630582712.929290	619	648
1630582712.962620	620	647
1630582712.995950	621	645
1630582713.029290	622	644
1630582713.062620	622	644
1630582713.095950	622	643
1630582713.129290	621	644
1630582713.162620	621	644
1630582713.195950	623	644
1630582713.229290	625	643
1630582713.262620	641	643
1630582713.295950	628	643
1630582713.329290	645	643
1630582713.362620	646	643
1630582713.395950	648	644
1630582713.429290	649	644
1630582713.462620	651	645
1630582713.495950	652	646
1630582713.529290	655	647
1630582713.562620	658	648
1630582713.595950	647	646
1630582713.629290	664	650
1630582713.662620	667	650
1630582713.695960	671	650
1630582713.729290	675	650
1630582713.762620	679	650
1630582713.795960	683	650
1630582713.829290	687	650
1630582713.862620	692	650
1630582713.895960	693	651
1630582713.929290	694	651
1630582713.962620	694	651
1630582713.995960	694	651
1630582714.029290	694	651
1630582714.062620	694	651
1630582714.095960	694	652
1630582714.129290	694	652
1630582714.162620	693	652
1630582714.195960	694	652
1630582714.229290	694	652
1630582714.262620	694	652
1630582714.295960	694	652
1630582714.329290	694	652
1630582714.362620	694	652
1630582714.395960	694	652
1630582714.429290	694	652
1630582714.462620	694	652
1630582714.495960	694	653
1630582714.529290	695	655
1630582714.562630	695	656
1630582714.595960	695	657
1630582714.629290	695	659
1630582714.662630	695	659
1630582714.695960	695	661
1630582714.729290	695	663
1630582714.762630	695	666
1630582714.795960	694	667
1630582714.829290	693	669
1630582714.862630	693	671
1630582714.895960	694	657
1630582714.929290	691	673
1630582714.962630	693	660
1630582714.995960	693	663
1630582715.029290	690	673
1630582715.062630	695	676
1630582715.095960	690	686
1630582715.129290	696	693
1630582715.162630	696	704
1630582715.195960	697	713
1630582715.229290	696	721
1630582715.262630	696	727
1630582715.295960	696	734
1630582715.329290	696	744
1630582715.362630	696	754
1630582715.395960	696	764
1630582715.429290	695	772
1630582715.462630	695	779
1630582715.495960	695	784
1630582715.529300	695	787
1630582715.562630	695	792
1630582715.595960	695	795
1630582715.629300	695	797
1630582715.662630	695	799
1630582715.695960	696	799
1630582715.729300	696	800
1630582715.762630	696	802
1630582715.795960	696	801
1630582715.829300	696	802
1630582715.862630	696	802
1630582715.895960	696	802
1630582715.929300	695	803
1630582715.962630	673	806
1630582715.995960	663	805
1630582716.029300	652	801
1630582716.062630	647	799
1630582716.095960	642	796
1630582716.129300	636	794
1630582716.162630	630	795
1630582716.195960	627	797
1630582716.229300	627	803
1630582716.262630	628	804
1630582716.295960	630	805
1630582716.329300	632	804
1630582716.362630	635	803
1630582716.395970	637	800
1630582716.429300	639	797
1630582716.462630	643	791
1630582716.495970	647	785
1630582716.529300	635	773
1630582716.562630	638	769
1630582716.595970	641	762
1630582716.629300	643	756
1630582716.662630	645	753
1630582716.695970	647	748
1630582716.729300	646	743
1630582716.762630	646	739
1630582716.795970	647	740
1630582716.829300	648	743
1630582716.862630	650	747
1630582716.895970	653	749
1630582716.929300	654	749
1630582716.962630	655	747
1630582716.995970	654	745
1630582717.029300	654	745
1630582717.062630	653	746
1630582717.095970	654	748
1630582717.129300	655	750
1630582717.162630	657	752
1630582717.195970	660	754
1630582717.229300	663	755
1630582717.262640	666	755
1630582717.295970	668	755
1630582717.329300	668	756
1630582717.362640	668	756
1630582717.395970	668	755
1630582717.429300	668	755
1630582717.462640	667	753
1630582717.495970	681	747
1630582717.529300	664	749
1630582717.562640	663	746
1630582717.595970	664	745
1630582717.629300	664	744
1630582717.662640	666	742
1630582717.695970	669	740
1630582717.729300	672	740
1630582717.762640	692	740
1630582717.795970	693	739
1630582717.829300	692	740
1630582717.862640	672	739
1630582717.895970	670	739
1630582717.929300	669	741
1630582717.962640	667	742
1630582717.995970	664	744
1630582718.029300	662	746
1630582718.062640	661	747
1630582718.095970	660	748
1630582718.129310	658	748
1630582718.162640	655	749
1630582718.195970	653	749
1630582718.229310	650	750
1630582718.262640	647	751
1630582718.295970	645	752
1630582718.329310	642	754
1630582718.362640	640	755
1630582718.395970	638	756
1630582718.429310	636	756
1630582718.462640	635	757
1630582718.495970	635	756
1630582718.529310	636	753
1630582718.562640	637	750
1630582718.595970	638	747
1630582718.629310	638	745
1630582718.662640	639	744
1630582718.695970	640	742
1630582718.729310	642	742
1630582718.762640	644	741
1630582718.795970	645	740
1630582718.829310	648	741
1630582718.862640	650	743
1630582718.895970	653	747
1630582718.929310	657	751
1630582718.962640	665	747
1630582718.995970	668	747
1630582719.029310	672	747
1630582719.062640	677	747
1630582719.095980	682	747
1630582719.129310	685	748
1630582719.162640	689	749
1630582719.195980	688	749
1630582719.229310	692	751
1630582719.262640	693	755
1630582719.295980	693	757
1630582719.329310	692	758
1630582719.362640	692	758
1630582719.395980	691	757
1630582719.429310	691	754
1630582719.462640	690	751
1630582719.495980	687	748
1630582719.529310	685	745
1630582719.562640	684	743
1630582719.595980	684	743
1630582719.629310	681	739
1630582719.662640	691	747
1630582719.695980	691	744
1630582719.729310	687	738
1630582719.762640	692	738
1630582719.795980	686	731
1630582719.829310	693	729
1630582719.862640	694	726
1630582719.895980	694	725
1630582719.929310	691	726
1630582719.962650	678	724
1630582719.995980	672	723
1630582720.029310	669	722
1630582720.062650	666	720
1630582720.095980	666	717
1630582720.129310	667	714
1630582720.162650	666	713
1630582720.195980	666	711
1630582720.229310	666	710
1630582720.262650	664	708
1630582720.295980	662	708
1630582720.329310	662	709
1630582720.362650	662	710
1630582720.395980	661	712
1630582720.429310	659	711
1630582720.462650	658	708
1630582720.495980	657	702
1630582720.529310	658	697
1630582720.562650	658	696
1630582720.595980	658	697
1630582720.629310	659	697
1630582720.662650	658	693
1630582720.695980	657	692
1630582720.729310	656	692
1630582720.762650	655	689
1630582720.795980	656	687
1630582720.829320	658	686
1630582720.862650	659	685
1630582720.895980	661	686
1630582720.929320	661	686
1630582720.962650	664	692
1630582720.995980	662	687
1630582721.029320	664	688
1630582721.062650	667	693
1630582721.095980	662	688
1630582721.129320	662	687
1630582721.162650	662	687
1630582721.195980	662	686
1630582721.229320	662	687
1630582721.262650	662	687
1630582721.295980	662	687
1630582721.329320	663	688
1630582721.362650	663	688
1630582721.395980	663	687
1630582721.429320	664	687
1630582721.462650	664	688
1630582721.495980	664	687
1630582721.529320	664	687
1630582721.562650	664	686
1630582721.595980	665	686
1630582721.629320	666	692
1630582721.662650	661	694
1630582721.695980	651	682
1630582721.729320	648	689
1630582721.762650	642	684
1630582721.795990	641	683
1630582721.829320	645	685
1630582721.862650	647	683
1630582721.895990	650	679
1630582721.929320	654	673
1630582721.962650	664	667
1630582721.995990	673	660
1630582722.029320	677	654
1630582722.062650	677	649
1630582722.095990	677	644
1630582722.129320	678	643
1630582722.162650	677	643
1630582722.195990	676	644
1630582722.229320	673	644
1630582722.262650	669	646
1630582722.295990	665	650
1630582722.329320	663	652
1630582722.362650	663	651
1630582722.395990	663	646
1630582722.429320	649	643
1630582722.462650	649	644
1630582722.495990	649	643
1630582722.529320	649	644
1630582722.562660	649	644
1630582722.595990	649	645
1630582722.629320	647	645
1630582722.662660	646	646
1630582722.695990	645	648
1630582722.729320	645	651
1630582722.762660	644	654
1630582722.795990	643	654
1630582722.829320	641	654
1630582722.862660	635	653
1630582722.895990	630	653
1630582722.929320	625	652
1630582722.962660	619	651
1630582722.995990	621	653
1630582723.029320	628	651
1630582723.062660	631	648
1630582723.095990	626	645
1630582723.129320	623	643
1630582723.162660	611	653
1630582723.195990	609	653
1630582723.229320	620	643
1630582723.262660	619	643
1630582723.295990	618	643
1630582723.329320	618	644
1630582723.362660	619	644
1630582723.395990	620	649
1630582723.429320	622	656
1630582723.462660	622	663
1630582723.495990	622	667
1630582723.529330	624	671
1630582723.562660	626	673
1630582723.595990	614	681
1630582723.629330	617	682
1630582723.662660	619	684
1630582723.695990	621	686
1630582723.729330	623	687
1630582723.762660	625	688
1630582723.795990	640	682
1630582723.829330	625	689
1630582723.862660	624	689
1630582723.895990	639	683
1630582723.929330	640	684
1630582723.962660	641	684
1630582723.995990	643	685
1630582724.029330	646	686
1630582724.062660	650	687
1630582724.095990	653	687
1630582724.129330	656	687
1630582724.162660	659	685
1630582724.195990	660	681
1630582724.229330	662	680
1630582724.262660	658	685
1630582724.295990	663	680
1630582724.329330	663	680
1630582724.362660	664	680
1630582724.396000	664	680
1630582724.429330	663	680
1630582724.462660	663	681
1630582724.496000	662	683
1630582724.529330	661	685
1630582724.562660	659	686
1630582724.596000	648	691
1630582724.629330	646	691
1630582724.662660	643	693
1630582724.696000	652	689
1630582724.729330	645	699
1630582724.762660	652	692
1630582724.796000	645	700
1630582724.829330	653	691
1630582724.862660	655	690
1630582724.896000	657	689
1630582724.929330	660	687
1630582724.962660	662	685
1630582724.996000	662	685
1630582725.029330	661	686
1630582725.062660	661	686
1630582725.096000	660	686
1630582725.129330	656	686
1630582725.162660	651	688
1630582725.196000	639	699
1630582725.229330	645	697
1630582725.262670	646	693
1630582725.296000	648	695
1630582725.329330	650	692
1630582725.362670	645	699
1630582725.396000	654	689
1630582725.429330	656	688
1630582725.462670	658	686
1630582725.496000	659	684
1630582725.529330	659	684
1630582725.562670	657	687
1630582725.596000	656	688
1630582725.629330	655	690
1630582725.662670	655	691
1630582725.696000	654	691
1630582725.729330	647	696
1630582725.762670	650	693
1630582725.796000	653	691
1630582725.829330	656	690
1630582725.862670	658	690
1630582725.896000	658	691
1630582725.929330	658	692
1630582725.962670	658	692
1630582725.996000	659	693
1630582726.029330	660	694
1630582726.062670	660	695
1630582726.096000	661	696
1630582726.129330	660	696
1630582726.162670	661	696
1630582726.196000	663	696
1630582726.229340	663	696
1630582726.262670	662	698
1630582726.296000	660	700
1630582726.329340	661	700
1630582726.362670	661	700
1630582726.396000	661	700
1630582726.429340	662	699
1630582726.462670	663	699
1630582726.496000	662	699
1630582726.529340	661	700
1630582726.562670	663	699
1630582726.596000	663	699
1630582726.629340	663	700
1630582726.662670	663	700
1630582726.696000	664	699
1630582726.729340	667	698
1630582726.762670	668	697
1630582726.796000	668	697
1630582726.829340	667	696
1630582726.862670	668	696
1630582726.896000	669	695
1630582726.929340	670	693
1630582726.962670	671	692
1630582726.996000	672	691
1630582727.029340	675	689
1630582727.062670	682	686
1630582727.096010	687	684
1630582727.129340	692	671
1630582727.162670	694	672
1630582727.196010	694	679
1630582727.229340	695	684
1630582727.262670	695	682
1630582727.296010	695	678
1630582727.329340	692	669
1630582727.362670	692	674
1630582727.396010	692	668
1630582727.429340	684	650
1630582727.462670	681	647
1630582727.496010	687	659
1630582727.529340	692	658
1630582727.562670	695	657
1630582727.596010	695	656
1630582727.629340	694	657
1630582727.662670	691	658
1630582727.696010	687	660
1630582727.729340	692	660
1630582727.762670	695	661
1630582727.796010	694	662
1630582727.829340	694	664
1630582727.862670	693	665
1630582727.896010	692	668
1630582727.929340	691	669
1630582727.962680	691	670
1630582727.996010	693	656
1630582728.029340	691	670
1630582728.062680	691	670
1630582728.096010	692	655
1630582728.129340	692	655
1630582728.162680	692	655
1630582728.196010	692	655
1630582728.229340	692	655
1630582728.262680	692	655
1630582728.296010	692	655
1630582728.329340	692	669
1630582728.362680	692	654
1630582728.396010	693	654
1630582728.429340	692	668
1630582728.462680	692	669
1630582728.496010	693	656
1630582728.529340	694	660
1630582728.562680	694	664
1630582728.596010	694	670
1630582728.629340	690	685
1630582728.662680	697	694
1630582728.696010	695	703
1630582728.729340	673	707
1630582728.762680	669	710
1630582728.796010	665	714
1630582728.829350	660	723
1630582728.862680	657	731
1630582728.896010	653	739
1630582728.929350	649	743
1630582728.962680	646	749
1630582728.996010	640	752
1630582729.029350	631	756
1630582729.062680	623	758
1630582729.096010	618	762
1630582729.129350	615	766
1630582729.162680	611	769
1630582729.196010	605	771
1630582729.229350	602	773
1630582729.262680	602	777
1630582729.296010	601	781
1630582729.329350	601	783
1630582729.362680	601	784
1630582729.396010	601	786
1630582729.429350	601	789
1630582729.462680	601	792
1630582729.496010	601	793
1630582729.529350	601	793
